study_id,title,status,phase,enrollment
NCT02066545,Safety and Efficacy Study of CLS001Topical Gel Compared to Vehicle in Subjects With Inflammatory Acne Vulgaris,COMPLETED,PHASE2,327.0
NCT05987072,A Study to Learn How the Study Medicine Called Sisunatovir is Tolerated and Acts in the Bodies of Chinese Healthy Adults.,COMPLETED,PHASE1,12.0
NCT05144295,Lubiprostone for Functional Constipation in the Under 18 Years Patients,COMPLETED,PHASE3,274.0
NCT00828139,S0802 - Topotecan With or Without Aflibercept in Treating Patients With Extensive-Stage Small Cell Lung Cancer,COMPLETED,PHASE2,189.0
NCT01093677,"Investigation of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of LIM-0705 in Male Subjects With Impaired Glucose Tolerance",WITHDRAWN,PHASE1,30.0
NCT00000275,Cocaine Abuse and ADHD - 10,COMPLETED,PHASE2,16.0
NCT05665075,Natural Killer (NK) Cell Therapy Targeting CD33 in Acute Myeloid Leukemia,UNKNOWN,PHASE1,19.0
NCT01802775,Edoxaban in Peripheral Arterial Disease,COMPLETED,PHASE2,203.0
NCT00800475,Bioequivalence Study Between Two Oral Formulations of Gemfibrozil Tablets,COMPLETED,PHASE1,40.0
NCT04224675,Captopril Versus Atenolol to Prevent Expansion Rate of Thoracic Aortic Aneurysms,UNKNOWN,NA,424.0
NCT00268957,Study to Compare Sevelamer Carbonate Powder to Sevelamer Hydrochloride Tablets in Patients With CKD on Hemodialysis,COMPLETED,PHASE3,217.0
NCT03621657,The GRAFT Study: Gut RecolonizAtion by Fecal Transplantation,COMPLETED,PHASE2,1.0
NCT05739877,Phamacokinetics and Safety Profiles of DA-1229_01 2.5/500mg in Healthy Subjects at Fed State,UNKNOWN,PHASE1,34.0
NCT03760575,Pembrolizumab in Combination With Chemotherapy and Image-Guided Surgery for Malignant Pleural Mesothelioma (MPM),RECRUITING,PHASE1,20.0
NCT07682675,Study to Evaluate the Efficacy of Zanzalintinib in the Treatment of Relapsed or Metastatic Adenoid Cystic Carcinomas of the Head and Neck,NOT_YET_RECRUITING,PHASE2,51.0
NCT01986075,A Sequenced Behavioral and Medication Intervention for Cocaine Dependence,COMPLETED,PHASE1,145.0
NCT02068157,Interstitial Photodynamic Therapy in Treating Patients With Recurrent Head and Neck Cancer,TERMINATED,PHASE2,3.0
NCT04194957,Improving the Safety of Fluoropyrimidine-based Chemotherapy,UNKNOWN,NA,1440.0
NCT03034057,Sayana Press UK Self-Injection Study,COMPLETED,PHASE4,169.0
NCT03498001,Effects of GLP-1 Agonists on CArdiac Steatosis Evaluated by Magnetic Resonance Imaging,COMPLETED,NA,42.0
NCT01102101,Effect of Opioids in Neuropathic Pain in Postherpetic Patients,UNKNOWN,PHASE3,30.0
NCT07121101,"To Evaluate the Safety, Efficacy and Kinetic Characteristics of TRD205 Tablets for Postoperative Analgesia After Unilateral Hip Arthroplasty",NOT_YET_RECRUITING,PHASE2,40.0
NCT03654612,Apatinib Combined With S-1 for the Treatment of Recurrent/Metastatic Head and Neck Malignancies,UNKNOWN,PHASE1,30.0
NCT05022212,Phase 2 Trial of LACTIN-V in Women at High Risk of HIV Acquisition,COMPLETED,PHASE2,45.0
NCT01699412,Clinical Trial With Clobetasol and Dexamethasone for Topical Treatment of Oral Lesions of Chronic Graft-versus-host Disease,COMPLETED,PHASE3,28.0
NCT06257212,Live Vaccines and Innate Immune Training in COPD.,COMPLETED,PHASE4,60.0
NCT07254481,"VB19055 Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Study in a Healthy Chinese Population",RECRUITING,PHASE1,86.0
NCT00513019,Double-Blind Lamictal (Lamotrigine) in Neurotic Excoriation,COMPLETED,PHASE2,35.0
NCT01142219,L-Arginine and Sickle Cell Disease,COMPLETED,PHASE3,40.0
NCT04062019,Low-dose Interleukin-2 Treatment on Idiopathic Inflammatory Myopathy,UNKNOWN,PHASE2,15.0
NCT00236119,"Study of the Efficacy, Safety and Tolerability of Oral CEP-701 in Patients With Severe Psoriasis",COMPLETED,PHASE2,46.0
NCT00288730,A Study of Two Doses of Intravenous NATRECOR hBNP (Nesiritide) in Patients With Worsening Congestive Heart Failure Who Have Difficulty Breathing at Rest,COMPLETED,PHASE3,127.0
NCT00906828,Pharmacokinetics of Levodopa/Carbidopa Infusion With and Without Oral Catechol-O-methyl Transferase (COMT) Inhibitors,COMPLETED,PHASE4,10.0
NCT00223730,Chemotherapy Toxicity Reduction Via Urea Cycle Support,COMPLETED,PHASE2,100.0
NCT06106828,"A Study to Evaluate the Efficacy, Safety, Pharmacokinetics, and Pharmacodynamics of Satralizumab in Participants With Thyroid Eye Disease",ACTIVE_NOT_RECRUITING,PHASE3,127.0
NCT02225665,Repeat Doses of SB-728mR-T After Cyclophosphamide Conditioning in HIV-Infected Subjects on HAART,COMPLETED,PHASE1,8.0
NCT01714765,Dose Escalation Study Investigating Everolimus and Dovitinib in Metastatic Clear Cell Renal Cancer,COMPLETED,PHASE1,17.0
NCT01262365,Study of Epratuzumab Versus Placebo in Subjects With Moderate to Severe General Systemic Lupus Erythematosus,COMPLETED,PHASE3,793.0
NCT00496665,ZD6474 (Zactima) and Metronomic Chemotherapy in Advanced Breast Cancer,COMPLETED,PHASE1,25.0
NCT04198467,To Evaluate the Optimum Dose of Platelet Rich Plasma in Knee Osteoarthritis and Compare Efficacy With Hyaluronic Acid,COMPLETED,PHASE2,100.0
NCT04899427,Phase II Study of Orelabrutinib Combined With PD-1 Inhibitor in Relapsed/Refractory Primary Central Nervous System Lymphoma,UNKNOWN,PHASE2,32.0
NCT05142527,Study to Evaluate the Safety and Efficacy of a Monoclonal Antibody Cocktail for the Prevention of COVID-19,WITHDRAWN,PHASE2,0.0
NCT04167761,Ertugliflozin: Cardioprotective Effects on Epicardial Fat,COMPLETED,EARLY_PHASE1,61.0
NCT02649361,Study of Anlotinib in Patients With Esophageal Squamous Cell Carcinoma (ALTER1102),COMPLETED,PHASE2,164.0
NCT04650542,Drug-Drug Interaction Study of HBI-3000 and Paroxetine in Healthy Adult Male and Female Subjects,COMPLETED,PHASE1,39.0
NCT01147042,Biochemical Response to Interferon-Gamma in Subjects With Specific Gene Mutation in Chronic Granulomatous Disease,TERMINATED,PHASE4,2.0
NCT04743986,The Effect of Platelet Rich Plasma on Partial Thickness Rotator Cuff Tears: A Randomized Controlled Trial,COMPLETED,PHASE4,104.0
NCT05205486,Pharmacokinetics and Safety of Cefazolin 3gm DUPLEX in Adults,COMPLETED,PHASE1,12.0
NCT01220570,The Growth Factor Signature (GFS) as an Intermediate Biomarker of Response for Development of PI3K-Pathway Inhibitors in Patients With Breast Cancer (MK-8669-050),COMPLETED,PHASE1,63.0
NCT02578186,Evaluation of Diphenhydramine Hydrochloride Effects in Subjects With Occasional Sleeplessness,COMPLETED,PHASE4,33.0
NCT01126073,Niacin/Laropiprant and Endothelial Function,COMPLETED,PHASE4,60.0
NCT03163173,"A Study to Investigate the Absorption, Metabolism, Excretion, and Mass Balance of GC4419 in Healthy Adult Subjects",COMPLETED,PHASE1,6.0
NCT00236873,"A Study of the Efficacy and Safety of Topiramate as add-on Therapy in the Treatment of Epilepsy Patients With Difficult to Treat, Partial-onset Seizures.",COMPLETED,PHASE2,47.0
NCT03917069,Nab-PCE vs PC for MM After Failure of Anti-PD-1,UNKNOWN,PHASE2,145.0
NCT02350569,Safety and Efficacy of Ledipasvir/Sofosbuvir Fixed Dose Combination Administered in Patients Infected With Chronic Genotype 1 or 4 HCV for Use in the Peri-Operative Liver Transplantation Setting,COMPLETED,PHASE2,17.0
NCT06644183,Roginolisib (IOA-244) With Venetoclax and Rituximab for Refractory/Relapsed Chronic Lymphocytic Leukemia (CLL),RECRUITING,PHASE1,64.0
NCT00935883,Complement Inhibition With Eculizumab for the Treatment of Non-Exudative Macular Degeneration (AMD),COMPLETED,PHASE2,60.0
NCT05784441,A Study of JNJ-90009530 in Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma (r/r B-NHL),ACTIVE_NOT_RECRUITING,PHASE1,21.0
NCT03101241,A Phase 2 RCT Study of CX-8998 for Essential Tremor,COMPLETED,PHASE2,95.0
NCT00272441,Prevention of Early Asthma in Kids (PEAK),COMPLETED,NA,
NCT05701241,Continuing Somatostatin Analogues Upon Progression in Neuroendocrine Tumour pAtients,RECRUITING,PHASE4,270.0
NCT04724369,Open-Label Study of 18F-mFBG for Imaging Neuroblastoma,ACTIVE_NOT_RECRUITING,PHASE3,43.0
NCT01333605,IGEV Followed by Autologous Transplantation for Refractory or Relapsed Hodgkin Lymphoma,UNKNOWN,PHASE2,43.0
NCT04146805,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BLD-0409 in Healthy Subjects",COMPLETED,PHASE1,80.0
NCT06325605,Efficacy and Safety of Bifidobacterium Combined With High-frequency Transcranial Magnetic Stimulation in the Treatment of Adolescent Depression,COMPLETED,NA,100.0
NCT07283094,FHD-286 With Low-Dose Weekly Decitabine/Venetoclax in Patients With Acute Myeloid Leukemia,RECRUITING,PHASE1,33.0
NCT00511394,Acute Hemodynamics of Albumin Versus Normal Saline in Cirrhosis,SUSPENDED,NA,16.0
NCT06821594,Role of Intralesional Combined Injection of Furosemide and Digoxin in Cutaneous Warts at Tertiary Care Hospital in Karachi.,ENROLLING_BY_INVITATION,EARLY_PHASE1,40.0
NCT06072794,A Proof of Concept Study to Evaluate Exosomes From Human Mesenchymal Stem Cells in Women With Premature Ovarian Insufficiency (POI),SUSPENDED,PHASE1,9.0
NCT04329494,"PIPAC for the Treatment of Peritoneal Carcinomatosis in Patients With Ovarian, Uterine, Appendiceal, Colorectal, or Gastric Cancer",RECRUITING,PHASE1,49.0
NCT00005866,S9920 Busulfan Compared With Cyclophosphamide in Patients Undergoing Total-Body Irradiation Plus Peripheral Stem Cell Transplantation for Advanced Myelodysplastic Syndrome or Related Acute Myeloid Leukemia,COMPLETED,PHASE3,240.0
NCT07118566,Hyperthermia Combined With Immune Checkpoint Inhibitors in the Treatment of Advanced Gastrointestinal Malignancies With Liver Metastases,NOT_YET_RECRUITING,PHASE2,40.0
NCT00573066,Understanding Dexmedetomidine In Infants Post-Operative From Cardiac Surgery,COMPLETED,PHASE1,56.0
NCT00931866,Diclofenac Patch for Treatment of Acute Pain Due to Mild to Moderate Soft Tissue Injuries (TAPED),COMPLETED,PHASE3,407.0
NCT04190966,Smoking Cessation in the Surgical Pathway Before Major Lung Surgery,UNKNOWN,NA,120.0
NCT02422056,Acid Tranexamic Effectiveness in Reducing the Intraoperative Bleeding in Palatoplasty,COMPLETED,PHASE4,66.0
NCT00387556,Ondansetron Reduce Vomiting Associated With Ketamine PSA,COMPLETED,NA,268.0
NCT03295656,Contrast-Enhanced Ultrasound Diagnosis of Acute Appendicitis,WITHDRAWN,PHASE1,0.0
NCT02108756,Efficacy and Safety of L-Pantoprazole Sodium Injection to Treat Upper Gastrointestinal Ulcer Bleeding,UNKNOWN,NA,272.0
NCT06514222,Pain Control Following Third Molar Surgery,ACTIVE_NOT_RECRUITING,EARLY_PHASE1,56.0
NCT05751356,TR128 in Patients With Advanced Solid Tumors,UNKNOWN,PHASE1,50.0
NCT01744756,Subconjunctival Bevacizumab and Recurrent Pterygium,COMPLETED,PHASE2,36.0
NCT01777256,"An Adaptive Phase II Study to Evaluate the Efficacy, Pharmacodynamics, Safety and Tolerability of GSK2586184",TERMINATED,PHASE2,51.0
NCT05506956,Post-transplant Flotetuzumab for AML,COMPLETED,PHASE1,3.0
NCT03637556,"Pilot Study to Assess the Safety, PK and Iron Chelating Activity of DST-0509 (Deferasirox) in Thalassemia Patients Refractory to Chelation",COMPLETED,PHASE2,25.0
NCT00257556,A Study of the Efficacy and Safety of Highly Purified Menotrophin Versus Recombinant Follitropin Alfa,COMPLETED,PHASE4,80.0
NCT06792422,A Study Investigating Oral Semaglutide in People with Open-Angle Glaucoma,RECRUITING,PHASE4,126.0
NCT03365622,Efficacy of IV Acetaminophen Versus Oral Acetaminophen,COMPLETED,PHASE4,214.0
NCT02111122,Study of the Symptomatic Effects of Nocturnal Sodium Oxybate in Parkinson's Disease,COMPLETED,PHASE2,16.0
NCT00877929,Telmisartan Fixed Dose Combination vs Amlodipine in Hypertensive Patients With Type 2 Diabetes Mellitus,COMPLETED,PHASE3,706.0
NCT06289829,The Appropriate Remifentanil Dose for Optimal Insertion of Laryngeal Mask Airway in Adult Patients During Induction of General Anesthesia Using Remimazolam.,COMPLETED,NA,60.0
NCT04775329,Primary Prophylaxis for Spontaneous Bacterial Peritonitis,TERMINATED,PHASE2,2.0
NCT05427331,FMT Capsules in Treatment of Patients With Insomnia Clinical Research,UNKNOWN,NA,60.0
NCT01636531,A Study of A High Concentration Liquid Formulation Versus A Lyophilized Formulation of Gantenerumab in Healthy Volunteers,COMPLETED,PHASE1,120.0
NCT01288131,Study of Anti-r-HuEpo Associated Pure Red Cell Aplasia (PRCA) Treatment,TERMINATED,PHASE3,8.0
NCT01957631,Comparing Steroid Injections and Platelet Rich Plasma Injections in the Treatment of Plantar Fasciitis,WITHDRAWN,PHASE2,0.0
NCT06683131,Effectiveness of Proprotein Convertase Subtilisin/Kexin Type 9 (PCSK9) Inhibitor Initiation Before Percutaneous Coronary Intervention on Acute Myocardial Infarction Patients,NOT_YET_RECRUITING,PHASE4,1160.0
NCT06754631,Efficacy and Safety of Continuous Versus Intermittent Nebulization of Salbutamol in Acute Severe Asthma in Children Under 12 Years of Age,COMPLETED,NA,120.0
NCT00435331,6R-BH4 Pulmonary Arterial Hypertension Study,COMPLETED,PHASE1,14.0
NCT04314531,Efficacy and Safety of Tildrakizumab Compared to Placebo in Anti-TNF naïve Subjects With Active Psoriatic Arthritis II (INSPIRE 2),ACTIVE_NOT_RECRUITING,PHASE3,296.0
NCT03804931,Fecal Microbiota Transplantation for Ulcerative Colitis,RECRUITING,PHASE2,120.0
NCT03804229,Efficacy and Safety of Butylphthalide Soft Capsule for the Treatment of Vascular Dementia,ACTIVE_NOT_RECRUITING,PHASE3,707.0
NCT00022529,BMS-214662 Plus Trastuzumab in Treating Patients With Advanced Solid Tumors,COMPLETED,PHASE1,28.0
NCT02259829,Bioequivalence Study of Telmisartan/Amlodipine Fixed Dose Combination Compared With Its Monocomponents in Healthy Male and Female Volunteers,COMPLETED,PHASE1,84.0
NCT05234853,Safety of PUR001 Monotherapy in Patients With Advanced Solid Tumors,UNKNOWN,PHASE1,23.0
NCT02931253,Metformin as an Upstream Therapy in Atrial Fibrillation,TERMINATED,PHASE2,6.0
NCT05588453,Natural Killer Cell Therapy (UD TGFbetai NK Cells) and Temozolomide for the Treatment of Stage IV Melanoma Metastatic to the Brain,RECRUITING,PHASE1,24.0
NCT02563353,PTH and Vibration in OSteoporosis Study,COMPLETED,NA,35.0
NCT01727453,Compare VKA vs LMWH in Patients With Anticoagulation Criteria and Episode of Gastrointestinal Bleeding.,COMPLETED,PHASE4,40.0
NCT05435053,Irreversible Electroporation + Nivolumab for Patients With Metastatic Pancreatic Cancer,TERMINATED,PHASE2,9.0
NCT04704453,Study to Evaluate the Interest of Qutenza in Patients With Head and Neck Cancer in Remission and With Sequelae Neuropathic Pain.,COMPLETED,PHASE2,13.0
NCT01187953,"Double-Blind,Double-Dummy,Efficacy/Safety,LCP-Tacro™ Vs Prograf®,Prevention Rejection,De Novo Adult Kidney Tx",COMPLETED,PHASE3,543.0
NCT01997853,Omega-3 Fatty Acids in Chronic Periodontitis.,COMPLETED,PHASE4,60.0
NCT00303953,PXD101 in Treating Patients With Relapsed or Refractory Aggressive B-Cell Non-Hodgkin's Lymphoma,COMPLETED,PHASE2,22.0
NCT07318337,Effect of Drospirenone-Ethinyl Estradiol (20microgram vs 30 Microgram) on Free Androgen Index in PCOS,COMPLETED,NA,60.0
NCT07096037,Safety and Efficacy of Urtica Dioica Cataplasm in the Management of Osgood-Schlatter Disease in Young Athletes,NOT_YET_RECRUITING,NA,90.0
NCT00299845,Randomized Trial for Pharmacogenomics-based Proton Pump Inhibitor Therapy in Children,WITHDRAWN,PHASE4,0.0
NCT01010672,Phase II Study of Ridaforolimus (MK-8669) With Metastatic Bone or Soft-tissue Sarcoma Patients (MK-8669-030 AM1),COMPLETED,PHASE2,50.0
NCT04731272,GLP-1 Agonist Therapy in Cystic Fibrosis-Related Glucose Intolerance,RECRUITING,PHASE2,30.0
NCT00940472,Study on DMMET-01 Versus Metformin on Improvement of Metabolic Control in Naive Type 2 Diabetes Patients,COMPLETED,PHASE2,20.0
NCT01095445,EXtended Therapy in Hepatitis C Genotype 3 Infected Patients,TERMINATED,PHASE3,2.0
NCT00893945,Autologous Dendritic Cells Pulsed With Autologous Apoptotic Tumor Cells Administered to Patients With Brain Tumors,COMPLETED,PHASE1,19.0
NCT04588545,Radiation Therapy Followed by Intrathecal Trastuzumab/Pertuzumab in HER2+ Breast Leptomeningeal Disease,ACTIVE_NOT_RECRUITING,PHASE1,33.0
NCT02443545,Long-term Safety and Efficacy of Ferriprox® in Iron Overloaded Patients With Sickle Cell Disease or Other Anemias,TERMINATED,PHASE4,134.0
NCT05535972,To Evaluate Real-World Effectiveness of Fluticasone Furoate/Umeclidinium Bromide/Vilanterol (FF/UMEC/VI) in a Single Inhaler (Trelegy Ellipta) in Participants With Symptomatic COPD,COMPLETED,PHASE4,463.0
NCT02226172,Single-Agent Glasdegib In Patients With Myelofibrosis Previously Treated With Ruxolitinib,TERMINATED,PHASE2,21.0
NCT00257972,Study of Aripiprazole in Patients With Bipolar I Disorder,COMPLETED,PHASE3,400.0
NCT07168395,Pre-emptive RTO for An Early Detected Gastric Varices in CT/MR Angiogram Trial,NOT_YET_RECRUITING,NA,68.0
NCT02726295,"The Efficacy of Mutaflor(E. Coli Nissle 1917, Mutaflor®) for Chronic Constipation:Multicenter Study",COMPLETED,PHASE4,112.0
NCT05016895,REACH2: Implementation Research on Bi-Annual Mass Distribution of Azithromycin to Children 1-11 Months in Côte d'Ivoire,COMPLETED,NA,767535.0
NCT03484195,Neoadjuvant FOLFOXIRI Chemotherapy in Patients With Locally Advanced Colon Cancer,UNKNOWN,PHASE2,30.0
NCT02489695,Axitinib in1st Line Treatment for Patients With Advanced or Metastatic Papillary Renal Cell Carcinoma,COMPLETED,PHASE2,44.0
NCT05565495,The Effects of ECMO on the Pharmacokinetics of Hydromorphone,RECRUITING,PHASE2,26.0
NCT05431595,Managing Agitated Delirium With Neuroleptics and Anti-Epileptics as a Neuroleptic Sparing Strategy,RECRUITING,PHASE2,42.0
NCT00318539,Addition of Quetiapine in Obsessive Compulsive Disorder - Westenberg Study,COMPLETED,PHASE2,90.0
NCT07018739,Mesenchymal Stem Cells With Cooling Therapy for Infants With Hypoxic-Ischemic Encephalopathy,NOT_YET_RECRUITING,PHASE1,40.0
NCT01293539,Intra-arterial Chemotherapy for the Treatment of Intraocular Retinoblastoma,TERMINATED,PHASE2,10.0
NCT01210339,An Interaction Study to Evaluate the Effect of Esomeprazole/Acetylsalicylic Acid on the Metabolism and Effect of Clopidogrel,COMPLETED,PHASE1,58.0
NCT06250777,Efficacy and Safety of T-DXd in HER2-mutant Advanced Lung Cancer Patients With Asymptomatic Brain Metastases,ENROLLING_BY_INVITATION,PHASE2,27.0
NCT04456777,Effect of Vortioxetine on Cognitive Symptoms in Patients With Schizophrenia,UNKNOWN,EARLY_PHASE1,120.0
NCT05821777,"A Study to Evaluate Safety, Tolerability and Preliminary Activity of LB101 in Participants With Advanced Solid Tumors",TERMINATED,PHASE1,25.0
NCT02070939,Study To Evaluate Safety And Tolerability Of Single And Multiple Ascending Doses Of PF- 06260414 In Healthy Western And Japanese Male Subjects,COMPLETED,PHASE1,72.0
NCT07204977,Acamprosate in C9orf72 Hexanucleotide Repeat Expansion Amyotrophic Lateral Sclerosis (ACALS),ACTIVE_NOT_RECRUITING,PHASE1,30.0
NCT00164177,Evaluation Of The Efficacy Of HalfLYTELY For Bowel Cleansing Before Virtual Colonoscopy and Conventional Colonoscopy.,COMPLETED,PHASE4,20.0
NCT05400577,"Sotorasib in KRAS G12C Mutated, Resectable, Stage Ib-IIIA NSCLC",WITHDRAWN,PHASE2,0.0
NCT03460977,"A Study of Mevrometostat for Treatment of Relapsed/Refractory SCLC, Castration Resistant Prostate Cancer, and Follicular Lymphoma",RECRUITING,PHASE1,453.0
NCT03990077,Study of HL-085 Plus Docetaxel in Patients With KRAS Mutant NSCLC,TERMINATED,PHASE1,2.0
NCT02631577,A Study Evaluating the Safety and Efficacy of Atezolizumab in Combination With Obinutuzumab Plus Lenalidomide in Patients With Relapsed or Refractory Follicular Lymphoma,COMPLETED,PHASE1,38.0
NCT04062357,Effectiveness and Tolerability of Lidocaine 5% Spray in Treatment of Lifelong Premature Ejaculation Patients.,COMPLETED,PHASE2,150.0
NCT00600301,Vitrectomy Without Internal Limiting Membrane Removal in the Treatment of Diffuse Diabetic Macular Edema: a Comparative Kenalog Vs Bevacizumab Intravitreal Injection Vs Control Study,WITHDRAWN,PHASE3,0.0
NCT01753401,Acthar for the Treatment of Systemic Lupus Erythematosus (SLE) in Patients With a History of Persistently Active Disease,COMPLETED,PHASE4,38.0
NCT00002501,"Cyclophosphamide and Filgrastim in Treating Patients With Stage IV, Relapsed, or Refractory Low-Grade Follicular Non-Hodgkin's Lymphoma",COMPLETED,PHASE2,29.0
NCT00016601,"Depo-Medroxyprogesterone Acetate (DMPA, Depo-Provera) Use With Certain Anti-HIV Drugs in HIV-Infected Women",COMPLETED,NA,76.0
NCT01930812,18F-NaF PET Imaging for Bone Scintigraphy,COMPLETED,PHASE3,286.0
NCT00504712,Testosterone for Peripheral Vascular Disease,COMPLETED,PHASE4,24.0
NCT00923481,"A Broad Multi-histology Phase II Study of the Multi-Kinase Inhibitor R935788 (Fostamatinib Disodium) in Advanced Colorectal, Non-small Cell Lung, Head and Neck Hepatocellular and Renal Cell Carcinomas, and Pheochromocytoma and Thyroid Tumors (Multi-H...",COMPLETED,PHASE2,37.0
NCT03289481,Treatment of HFpEF With Nitrate Supplement,COMPLETED,EARLY_PHASE1,13.0
NCT06973681,A Study of BGM0504 Evaluating Weight Loss in Overweight or Obese Chinese Subjects,COMPLETED,PHASE2,120.0
NCT01291381,Distinct Response of CD4+CD25+Foxp3+ and IL-10-secreting Type I T Regulatory Cells to Cluster Specific Immunotherapy in Allergic Rhinitis Children,COMPLETED,NA,50.0
NCT00356681,"A Study of AMG 706 or Bevacizumab, in Combination With Paclitaxel Chemotherapy, as Treatment for Breast Cancer",TERMINATED,PHASE2,282.0
NCT01879228,Effect of Chronic Incretin-based Therapy in Cystic Fibrosis,COMPLETED,NA,26.0
NCT02397928,Safety and Efficacy of TTFields (150 kHz) Concomitant With Pemetrexed and Cisplatin or Carboplatin in Malignant Pleural Mesothelioma (STELLAR),COMPLETED,PHASE2,82.0
NCT04745728,Different Immunosuppressive Treatment in iMN,RECRUITING,PHASE3,200.0
NCT01859728,GAMBIT Trial: Cisplatin Plus Irinotecan in the Treatment of Gallbladder or Biliary Tract Cancer,UNKNOWN,PHASE2,48.0
NCT06780670,Open-label Study Comparing AAA817 Versus Standard of Care in the Treatment of Previously Treated PSMA-positive mCRPC Adults Who Have Disease Progressed on or After [177Lu]Lu-PSMA Targeted Therapy,RECRUITING,PHASE2,443.0
NCT00143273,Dose Response Study of Lasofoxifene in Postmenopausal Women With Osteoporosis - Japanese Asian Dose Evaluation,COMPLETED,PHASE2,497.0
NCT00231673,A Study To Evaluate The Effect Of Topiramate On Clinical And Electrophysiological Parameters In Subjects With Diabetic Peripheral Polyneuropathy,COMPLETED,PHASE2,72.0
NCT06501573,A Study of SGB-9768 in Adult Healthy Volunteers,ACTIVE_NOT_RECRUITING,PHASE1,37.0
NCT00290069,Renal Function Optimization With Mycophenolate Mofetil (MMF) Immunosuppressor Regimes (ALHAMBRA),UNKNOWN,PHASE4,94.0
NCT01456169,A Study to Evaluate the Effectiveness and Safety of a Fixed Dose Combination of Azilsartan Medoxomil and Chlorthalidone in Patients With High Blood Pressure Who do Not Achieve Target Blood Pressure Following Treatment With Azilsartan Medoxomil Alone,COMPLETED,PHASE3,507.0
NCT03842969,An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of RO7234292 (RG6042) in Huntington's Disease Participants Who Participated in Prior Roche and Genentech Sponsored Studies,COMPLETED,PHASE3,236.0
NCT01296269,Effects of Intranasal Oxytocin and Vasopressin on Social Behavior,UNKNOWN,NA,150.0
NCT04902183,Safety and Efficacy of Exosomes Overexpressing CD24 in Two Doses for Patients With Moderate or Severe COVID-19,UNKNOWN,PHASE2,90.0
NCT01338883,"Efficacy, Safety, and Tolerability of Cenicriviroc (CVC) in Combination With Truvada or Sustiva Plus Truvada in HIV 1-infected, Antiretroviral Treatment-naïve, Adult Patients Infected With Only CCR5-tropic Virus",COMPLETED,PHASE2,143.0
NCT04936841,Bempegaldesleukin (NKTR-214) With Radiation and Anti-PD-1 Immunotherapy for Head and Neck Squamous Cell Carcinoma,TERMINATED,PHASE2,5.0
NCT02953054,Dexmedetomidine Transdermal System (DMTS) for Post-Operative Analgesia Following Bunionectomy,COMPLETED,PHASE2,88.0
NCT01499654,Half-Dose Radiopharmaceutical in Wide Beam Reconstruction,TERMINATED,NA,64.0
NCT00858754,Study Evaluating Safety & Efficacy of Subcutaneous Methylnaltrexone on Opioid-Induced Constipation in Cancer Subjects,WITHDRAWN,PHASE4,0.0
NCT05053854,PARP Inhibitor With 177Lu-DOTA-Octreotate PRRT in Patients With Neuroendocrine Tumours,RECRUITING,PHASE1,24.0
NCT00211354,Treatment of Retinal Vein Occlusion (RVO) With Open-Label Anecortave Acetate (15mg.),WITHDRAWN,PHASE2,0.0
NCT02233205,Safety Study of Combining Ultrasound Microbubbles and Chemotherapy to Treat Malignant Neoplasms of Digestive System,UNKNOWN,PHASE1,18.0
NCT00445705,Safety and Efficacy of AGN 203818 for Pain Associated With Fibromyalgia Syndrome,TERMINATED,PHASE2,211.0
NCT00786305,Nebulized Ceftazidime and Amikacin in Ventilator Associated Pneumonia,COMPLETED,PHASE2,40.0
NCT06539494,Luminal Fructose Kinetics (MARTINI Study),RECRUITING,PHASE2,22.0
NCT02454894,Optimization Lumbar Puncture In Children,WITHDRAWN,NA,0.0
NCT03603756,SHR-1210 in Combination With Apatinib and Chemotherapy in Patients With Advanced Esophageal Squamous Cell Cancer,UNKNOWN,PHASE2,45.0
NCT01504256,Catumaxomab for Treatment of Peritoneal Carcinomatosis in Patients With Gastric Adenocarcinomas,COMPLETED,PHASE2,42.0
NCT00006156,Feasibility Study for Development of an Early Test for Ovarian Failure,COMPLETED,NA,49.0
NCT04692766,Study to Evaluate the Efficacy and Safety of RPH-104 Treatment in Patients With Idiopathic Recurrent Pericarditis,COMPLETED,PHASE2,20.0
NCT02295566,"RATNO, Reducing Antibiotic Tolerance Using Nitric Oxide in CF - a Phase 2 Pilot Study",COMPLETED,PHASE2,12.0
NCT04928066,The Efficacy and Safety of Tofacitinib (TF) With Iguratimod (IGU) on RA,COMPLETED,PHASE4,100.0
NCT01909466,Safety and Tolerability Study of Aripiprazole IM Depot in Adult Subjects With Schizophrenia,COMPLETED,PHASE1,141.0
NCT00124956,Doxorubicin Pharmacokinetic (PK) Study,WITHDRAWN,PHASE1,0.0
NCT06813651,"Safety, Tolerability and Efficacy of Adjunctive TBO-309 in Reperfusion for Stroke With Tandem Occlusion",RECRUITING,PHASE2,78.0
NCT02930551,Neuromas as the Cause of Pain,COMPLETED,NA,12.0
NCT00881751,Bevacizumab and Erlotinib or Sorafenib as First-Line Therapy in Treating Patients With Advanced Liver Cancer,COMPLETED,PHASE2,95.0
NCT04146051,Descartes-08 CAR-T Cells in Generalized Myasthenia Gravis (MG),ACTIVE_NOT_RECRUITING,PHASE2,30.0
