study_id,title,status,phase,enrollment
NCT00997282,A Study of OPC-262 in Patients With Type 2 Diabetes,COMPLETED,PHASE2,255.0
NCT02981082,Dimethyl Fumarate (DMF) in Systemic Sclerosis-Associated Pulmonary Arterial Hypertension,TERMINATED,PHASE1,6.0
NCT06617182,Efficacy and Safety of Thalidomide Combined With Glutamine in the Treatment of Radiation Intestinal Injury.,RECRUITING,PHASE2,150.0
NCT00451724,Intranasal Ketamine for Procedural Sedation in Pediatric Laceration Repair,COMPLETED,PHASE2,45.0
NCT07484724,A Study Evaluating the Safety and Efficacy of JS212 Combination Therapy in Patients With Advanced Esophageal Squamous Cell Carcinoma,RECRUITING,PHASE2,280.0
NCT02678923,"MDCO-216 Infusions Leading to Changes in Atherosclerosis: A Novel Therapy in Development to Improve Cardiovascular Outcomes - Proof of Concept Intravascular Ultrasound (IVUS), Lipids, and Other Surrogate Biomarkers Trial",COMPLETED,PHASE1,126.0
NCT01677923,Obesity in Children and Adolescents: Associated Risks and Early Intervention,COMPLETED,PHASE3,182.0
NCT03499223,A Study to Evaluate THR-317 and Ranibizumab Combination Treatment for Diabetic Macular Oedema (DME),COMPLETED,PHASE2,70.0
NCT02562859,Oral Bioavailability of Solid Formulation of GLPG1837 With and Without Food,COMPLETED,PHASE1,12.0
NCT06692959,A Phase II Trial of Neoadjuvant PD-1 Vaccine PD1-Vaxx in Operable MSI High Colorectal Cancer,TERMINATED,PHASE2,3.0
NCT01216696,Ipilimumab in Patients With Advanced Melanoma and Spontaneous Preexisting Immune Response to NY-ESO-1,COMPLETED,PHASE2,25.0
NCT00891696,Nutritional and Contractile Regulation of Muscle Growth,COMPLETED,PHASE1,144.0
NCT00726180,"Use of Trastuzumab to Induce Increased ER Expression in ER-negative/Low, Her-2/Neu Positive Breast Cancer",TERMINATED,PHASE1,1.0
NCT04456296,A Study of the Effect of Testosterone Replacement Therapy on Blood Pressure in Adult Male Participants With Hypogonadism,COMPLETED,PHASE4,673.0
NCT04953780,2157GCCC:Phase 1 of Calaspargase Pegol-mknl W/ Cytarabine and Idarubicin in Newly Dx AML,ACTIVE_NOT_RECRUITING,PHASE1,6.0
NCT05327296,Efficacy and Safety of Inhaled Isoflurane Delivered Via the Sedaconda ACD-S Compared to Intravenous Propofol for Sedation of Mechanically Ventilated Intensive Care Unit Adult Patients (INSPiRE-ICU2),COMPLETED,PHASE3,282.0
NCT07504796,ctDNA-guided Addition of Ipilimumab to Patients Receiving Nivolumab and Relatlimab,RECRUITING,PHASE4,90.0
NCT05472896,TACE With Dicycloplatin(TP21) in Unresectable HCC,UNKNOWN,PHASE3,332.0
NCT03945279,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BIIB100 Administered Orally to Adults With Amyotrophic Lateral Sclerosis",COMPLETED,PHASE1,49.0
NCT06274879,Safety of Biliary Intraductal Radiofrequency Ablation in Patients With Unresectable Extrahepatic Biliary Tract Cancer,RECRUITING,PHASE2,36.0
NCT04211896,Anlotinib Combined With Nivolumab for Non-Small Cell Lung Cancer,UNKNOWN,PHASE2,70.0
NCT06133062,Atezolizumab and Bevacizumab With Proton Radiotherapy for Unresectable Hepatocellular Carcinoma,RECRUITING,PHASE2,45.0
